player,season,week,team,position_group,Updated,Injury,Injury Status,severity
J. Porter Jr.Joey Porter Jr.,2025,14,PIT,DB,"Thu, Dec 4",Elbow,Limited Practice on Thursday. Questionable for Week 14 at Baltimore,questionable
P. QueenPatrick Queen,2025,14,PIT,FRONT7,"Wed, Dec 3",Lower Body,Limited Practice on Thursday. Questionable for Week 14 at Baltimore,questionable
D. ElliottDeShon Elliott,2025,14,PIT,DB,"Sun, Nov 30",Knee,IR. Injured Reserve. Expected Return - Week 14,ir
K. Walker IIIKenneth Walker III,2025,14,SEA,RB,"Thu, Dec 4",Lower Body,Questionable for Week 14 at Atlanta,questionable
J. LoveJulian Love,2025,14,SEA,DB,"Wed, Dec 3",Hamstring,IR. Injured Reserve. Expected Return - Week 14,ir
J. ReedJarran Reed,2025,14,SEA,FRONT7,"Wed, Dec 3",Thumb,IR. Injured Reserve. Expected Return - Week 14,ir
K. JuszczykKyle Juszczyk,2025,14,SF,FB,"Sun, Nov 30",Ribs,Questionable for Week 15 vs. Tennessee,questionable
T. WirfsTristan Wirfs,2025,14,TB,OL,"Wed, Dec 3",Oblique,Did Not Practice on Thursday. Questionable for Week 14 vs. New Orleans,questionable
J. McMillanJalen McMillan,2025,14,TB,WR_TE,"Wed, Dec 3",Neck,IR. Injured Reserve. Expected Return - Week 14,ir
M. EvansMike Evans,2025,14,TB,WR_TE,"Wed, Dec 3",Collarbone,IR. Injured Reserve. Expected Return - Week 14,ir
S. TuttleShy Tuttle,2025,14,TEN,FRONT7,"Mon, Dec 1",Concussion,Full Practice on Thursday. Questionable for Week 14 at Cleveland,questionable
L. CushenberryLloyd Cushenberry,2025,14,TEN,OL,"Mon, Dec 1",Foot,Questionable for Week 14 at Cleveland,out
L. SneedL'Jarius Sneed,2025,14,TEN,DB,"Sun, Nov 30",Quadriceps,IR. Injured Reserve. Expected Return - Week 14,ir
D. JacksonDrake Jackson,2025,14,WAS,FRONT7,"Thu, Dec 4",Knee,Questionable for Week 14 at Minnesota,out
G.FantGeorge Fant,2025,14,WAS,OL,"Fri, Dec 5",Knee,out,out
B. WagnerBobby Wagner,2025,14,WAS,MLB,"Wed, Dec 3",Knee,Did Not Practice on Thursday. Questionable for Week 14 at Minnesota,questionable
J. DanielsJayden Daniels,2025,14,WAS,QB,"Mon, Dec 1",Elbow,Full Practice on Thursday. Questionable for Week 14 at Minnesota,ir
